lead_id,business_name,business_address,business_email,mobile_number,website_url,business_category,ratings,review_counts,top_review_1,top_review_2,top_review_3,google_map_url,personalized_email_subject,personalized_email_content,status,organization_number,registered_name,ceo_name,type_of_business,revenue,number_of_employees,year_of_registeration,headcount_2022,headcount_2021,headcount_2020,headcount_2019,headcount_2018,headcount_2017,revenue_track_2022,revenue_track_2021,revenue_track_2020,revenue_track_2019,revenue_track_2018,revenue_track_2017
6,Den Gyldene Freden,"Österlånggatan 51, 111 31 Stockholm, Sweden",info@gyldenefreden.se,+46 8 24 97 60,gyldenefreden.se,Swedish restaurant,4.3,1,"Review by Noemi S. (Namydust) 
What an incredible food experience! One of the oldest restaurants in the world, more than 300 years old building!
The salmon was OUTSTANDING! We saw also other plates and they all looked great! Of course you need to pay a little bit more than usual to dine there, but it’s worth a visit at least once! And book ahead of time!
Nice waitresses, super nice and gentle!","Review by Danielle Wood 
We found this restaurant on Google while looking for something that offered traditional Swedish food. The food, service, and experience did not disappoint. Our server explained this was the oldest restaurant in the world and opened in 1722. We enjoyed the shrimp and herring starters with classical schnapps, the Swedish meatballs and venison for mains, followed by the raspberry parfait. I'd highly recommend making a reservation as they are quite busy.","Review by Amy Shin 
Very rustic local atmosphere for authentic Swedish food, especially the meatballs. Nothing mind blowing, but in a convenient location. I would pass on the salmon next time.",https://www.google.com/maps/place/Den+Gyldene+Freden/data=!4m7!3m6!1s0x465f77e2d0fa60a3:0x8adb31e9ae0128a5!8m2!3d59.3231727!4d18.0737898!16s%2Fm%2F026qsj3!19sChIJo2D60OJ3X0YRpSgBrukx24o?authuser=0&hl=en&rclk=1,null,null,PENDING,556022-5772,DGF Restauranger AB,null,Aktiebolag,19 533 000,19,1924,19,15,17,22,36,36,19 533 000,18 737 000,15 518 000,36 829 000,39 381 000,40 573 000
9,Riche,"Birger Jarlsgatan 4, 114 34 Stockholm, Sweden",info@riche.se,+46 8 545 035 6,riche.se,Swedish restaurant,4.1,2,"Review by Olga Kulikova 
Lovely restaurant with great local dishes. We loved cod and duck. The house wine was also great. However the waiting time to receive our food was much longer than expected.","Review by Liu Malory 
4.5-star flavors, 3-star portions, 2-star service.
The meatballs were outstandingly good, perfectly juicy and the sauce were creamy but not heavy. Yet if you want to get full in this place, you need to order from starter to dessert. The waiter took our order looked like he hated this job.","Review by Tobias D. 
We came for the kötbullar (meat balls).
The food was delicious as a starter we had beef tartare and then the kötbullar. I never ate better meat balls than this evening. The staff was friendly and …",https://www.google.com/maps/place/Riche/data=!4m7!3m6!1s0x465f9d5bbcc171c7:0xf7d2f95f116eaf2f!8m2!3d59.3336111!4d18.0755556!16s%2Fg%2F11dylrp3t!19sChIJx3HBvFudX0YRL69uEV_50vc?authuser=0&hl=en&rclk=1,null,null,PENDING,556437-0400,Sturehof Aktiebolag,Rolf Michael Porseryd,Aktiebolag,229 070 000,151,1991,151,114,106,124,169,169,229 070 000,184 810 000,168 025 000,198 971 000,284 245 000,191 844 000
15,Portal,"Sankt Eriksplan 1, 113 20 Stockholm, Sweden",info@portalrestaurant.se,+46 8 30 11 01,portalrestaurant.se,Restaurant,4.5,861,"Review by Charbel Wakim 
Amazing place with very reasonable prices! The food is great and the portions are huge.

Try the love stew highly recommended 👍🏻","Review by Philip Gissen 
Portal would be a popular restaurant in any city in the world.  Filled with the handsome people of all persuasions, it was a scene.  I set back the hip quotient exponentially.  Food was consistent and good.  Cocktails were made well, and throughout the restaurant liquor flowed.  You will have a good time at Portal.  Service was nice, but quite taken with itself.  Their flippant attitude was the one negative.","Review by Collin Donoho 
Found this place on the Eaters guide and sure did not disappoint. They do have a sister bar next door as well. We walked into what seemed a very lowkey restaurant serving traditional Swedish fare with a twist. For our reservation, we sat at the bar, and it was lovely. The menu has many options, and the wine list is expansive. Service was fantastic by everyone, and super friendly. Everything we had was very tasty as well -",https://www.google.com/maps/place/Portal/data=!4m7!3m6!1s0x465f9d7bafe95555:0x6026f4a9bcfeacfa!8m2!3d59.3389529!4d18.0389927!16s%2Fg%2F11cp93651p!19sChIJVVXpr3udX0YR-qz-vKn0JmA?authuser=0&hl=en&rclk=1,null,null,PENDING,556894-9423,Portal Restaurant S:t Eriksplan AB,Klas Gunnar Lindberg,Aktiebolag,40 318 000,35,2012,35,27,27,28,26,25,40 318 000,32 338 000,28 068 000,35 423 000,29 257 000,27 110 000
19,Tak,"Brunkebergstorg 2, 4, 111 51 Stockholm, Sweden",info@tak.se,+46 8 587 220 8,tak.se,Fusion restaurant,4.2,3,"Review by Sonia A 
Absolutely LOVE this place. The food in the restaurant is amazing- we got the rice bowls and the butter and bread (both 10/10). The host and servers were so helpful and lovely. The rooftop bar is gorgeous, drinks are great and the atmosphere is amazing too. If you’re in Stockholm and don’t come here you’re missing out!!!","Review by Nathan Rakaczky 
Your next after work spot. They have some great views of the city and wonderful food to match. Their sushi is fresh, with some mouth kicking wasabi. I can highly recommend the pork bao. It was melt in your mouth with a large portion to share with the table. They also had a fun take on oysters if your looking for some aphrodisiacs or just a good taste.","Review by Andrew Okeke 
Great cocktails, nice staff, amazing atmosphere. Lobby seemed dead, but once you get to top floor it’s more popping. Seems like 3 different venues up here. Expansive. Came on a Friday at 2:20 pm. Maybe 15-20 patrons in here, but I imagine it gets much busier at night.",https://www.google.com/maps/place/Tak/data=!4m7!3m6!1s0x465f9d5ee97bf223:0xd9375dfc7e533f!8m2!3d59.3305194!4d18.06715!16s%2Fg%2F11g6xbb0fq!19sChIJI_J76V6dX0YRP1N-_F032QA?authuser=0&hl=en&rclk=1,null,null,PENDING,559069-9202,Restaurang Rooftop AB,Daniel Angelo Pettersson,Aktiebolag,114 265 000,59,2016,59,62,56,64,81,66,114 265 000,75 220 000,53 249 000,87 142 000,98 269 000,75 162 000
1,Restaurant Tradition,"Österlånggatan 1, 113 53 Stockholm, Sweden",gamlastan@restaurangtradition.se,+46 8 20 35 25,restaurangtradition.se,Swedish restaurant,4.5,2,"Review by Ethan Shoe 
This was on a list of recommended restaurants for traditional Swedish food. It was a higher end restaurant, but definitely worth the price. I got the traditional meatball dish and it was great. Each meal comes with a salad and bread plate, already on the table when you arrive. Service was good, though I wish they checked on me more often.","Review by Jessica Rodrigues 
We were in Stockholm for a few days but this restaurant served us incredibly good meatballs. The service was impeccable and attentive. The food was truly delicious, from appetizer to dessert everything astounded us and exceeded all our expectations. One thing is for sure, if I return to Stockholm I will come back here as well! highly recommended.","Review by Stefan Hendrickx 
Would highly recommend for visitors interested in getting a selection of Swedish classics like the herring (SOS), meatballs, or Kroppkaka (my favourite). After sampling at different restaurants this remains our favourite.
Staff is very friendly and welcoming and though it's not the most local experience (it's in the old town after all) it is a great experience and atmosphere.",https://www.google.com/maps/place/Restaurant+Tradition/data=!4m7!3m6!1s0x465f9d6ea9aaaaab:0xa4841fc300c6afe2!8m2!3d59.3259527!4d18.0738533!16s%2Fg%2F1hm5fzgtk!19sChIJq6qqqW6dX0YR4q_GAMMfhKQ?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
2,Stockholms Gästabud,"Österlånggatan 7, 111 31 Stockholm, Sweden",null,+46 8 21 99 21,facebook.com,Swedish restaurant,4.7,4,"Review by Georgi Karamanov 
The atmosphere of this restaurant is a delightful step into the past, with its cozy, vintage decor that oozes charm and nostalgia. The ambiance is warm and welcoming, making it the perfect place for a memorable meal. I was recommended this …","Review by Tanvir Hasan Sadi 
It’s worth the wait in the queue. Lovely old town atmosphere. Friendly service from the owner, they know how to cheer the customers, mouthwatering food, one dish is more than enough for one person. Must try the beef meatballs, best in the world!","Review by ambuj sarkar 
It’s the best restaurant in Stockholm for Swedish food. Highly recommended for Shrimps and tuna dishes in the menu, even meatballs are awesome as well. Must go place for people who likes to eat good food.",https://www.google.com/maps/place/Stockholms+G%C3%A4stabud/data=!4m7!3m6!1s0x465f9d580aacca9b:0xc5c9d27e708e7ed0!8m2!3d59.32568!4d18.0739918!16s%2Fg%2F11b60d_xzx!19sChIJm8qsClidX0YR0H6OcH7SycU?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
3,Rolfs Kök,"Tegnérgatan 41, 111 61 Stockholm, Sweden",info@rolfskok.se,+46 8 10 16 96,rolfskok.se,Swedish restaurant,4.5,2,"Review by this is eunice 
We initially had a bad first impression because the staff seemed rather stern and unenthusiastic, but the food was of great value for money. For the quality of the food I definitely would've been willing to pay more.

In particular I would recommend the breaded halibut and pork confit. The variety of potatoes that came with each main course also deserve a special mention. Seen lots of great reviews about the red wine braised ox cheeks but we personally found the red wine too intense.","Review by Magnus Skog 
Cozy place with excellent cooking overall. Staff was friendly and the service fast. Hearty portions of comforting dishes to enjoy this cold November night. Great wine recommendations. Highly recommended!","Review by Achi T 
The service staff were busy but moved quickly. Lunch came with soup and bread; I'm not sure if coffee was included because I ordered a latte. The lunch options included vegetarian, lamb, and beef, but I ordered fish. It was a sizable portion of fish, which was quite fresh. Overall, the meal was light and satisfactory.",https://www.google.com/maps/place/Rolfs+K%C3%B6k/data=!4m7!3m6!1s0x465f9d6612867693:0x9761e4a2f1b35be!8m2!3d59.3387043!4d18.0570522!16s%2Fg%2F11dyld84s!19sChIJk3aGEmadX0YRvjUbL0oedgk?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
4,The Hairy Pig Restaurant,"Lilla Nygatan 13, 111 28 Stockholm, Sweden",info@thehairypigrestaurant.com,null,thehairypig.com,Swedish restaurant,4.2,1,"Review by Norelys Rumbos 
The food is really good, it is so tasty. But the portion is small to the price.
We try the mushroom soup (amazing), the reindeer meat goals balls and a dish with an amazing sausage and a reindeer taco. All was amazing, expensive, but amazing","Review by Alessandra Distefano 
Cabin-like vibe and atmosphere. Great traditional Swedish food. Mainly meat. Moose and reindeer. Friendly staff. Be aware that it’s located in a very touristy area. Better to plan your visit accordingly.","Review by Hazel Brooks 
Highly recommended place to eat! We stopped by for a quick lunch and was so surprised by the quality of the food and drinks.

This was one of the best meals we have had so far in Europe to date - the Moose meatballs are exceptional.

We had Moose meatballs, Reindeer stew, beer, amazing Briska elderflower cider (not sweet, just nice), and their Vasa 1628 brandy. Everything was delicious.

*We ordered on a Friday from the lunch menu and revealed complimentary coffee and cookies afterwards.

Service was great - attentive and friendly staff who brought the orders quickly and checked up on us  without being pushy.

Overall cost about 70€, but was well worth it!",https://www.google.com/maps/place/The+Hairy+Pig+Restaurant/data=!4m7!3m6!1s0x465f77e251f93ee5:0xba94727f3daa3a3d!8m2!3d59.3237975!4d18.0687575!16s%2Fg%2F11c5sd9lpr!19sChIJ5T75UeJ3X0YRPTqqPX9ylLo?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
5,Restaurant C & C,null,null,null,null,null,4.5,763,"Review by Noemi S. (Namydust) 
Absolutely a nice find!
Was looking for the reindeer meat all around but some of the places don’t have it so came here and they had it on the menu: I had to try it!
Delicious meat and delicious sides like potatoes, vegetables and very tasty meat sauce! Had also a nice local beer!
Recommended… Turkish family owns this restaurant and they are super welcoming!
It’s expensive… so expect to pay!","Review by Rikhard Hartikainen 
Brought my American family after googling high ranked restaurants in old town Stockholm that would make them get the best side of Swedish cuisine and they truly got the best side. Incredible food, superb atmosphere and the waiters were incredibly professional. Thanks for making me proud to be Swedish to my family 🙏","Review by Halley Chen (HC) 
I was there in the late afternoon on a Saturday and it was not too busy, so I was able to get an outdoor table right away. The food was really nice, I had the shrimp for the starter and reindeer medallions for meat. Both are savory and well-done. I also got the mousse for a dessert. Although tasty, it was too small for me. The waiter and waitress were super friendly and nice, and I enjoyed the whole experience. In the summer time, the outdoor area should be wonderful and the indoor should be cozy any time. Be mindful that they may ask you for additional tip which is not common in Sweden? But it is totally up to you.",https://www.google.com/maps/place/Restaurant+C+%26+C/data=!4m7!3m6!1s0x465f77e25bfdb3d5:0xa26f21a22ec4ee2a!8m2!3d59.3242757!4d18.0695184!16s%2Fg%2F1hc27y8q8!19sChIJ1bP9W-J3X0YRKu7ELqIhb6I?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
7,Slingerbulten,null,null,null,null,Restaurant,4.5,2,"Review by Russell C 
I really enjoyed my meal here and would definitely visit again if I ever go back to Stockholm. I went for the meatballs with mashed potato, lingonberries, and pickles which was very good. Service was quick and friendly.","Review by Rachel Cheung 
Found this local gem for lunch, they have 4-5 good options unlike most restaurants that only serve one dish for lunch at a discounted price. You can also get salad bread coffee and juice which is included. I am pleasantly surprised by the quality and portion given the super affordable price! ~160 sek. The decor is also very cozy and staff very attentive and considerate. Highly recommend if you are visiting the old town. We got the fish, potato pancake and meatballs. They all tasted great but even more so the pancakes as the ingredients are simple yet so tasty.","Review by Tamami Naito-Badessa 
We came in the summer and ate here twice at our hotel concierge’s recommendation; the first night and the last night. We were skeptical at first since it was located in Old Town and in the middle of a touristy lane but I came for the meatballs and this place was it! And we left highly satisfied and came back the last evening for more meatballs, escargot and pickled herring. Husband had pan fried herring which he devoured. We sat at the bar, chatted up with the staff and ordered schnapps. The staff knows hospitality for sure and they made us feel right at home!",https://www.google.com/maps/place/Slingerbulten/data=!4m7!3m6!1s0x465f77e2451e6f1f:0x2e7b3f2ab18d7fc3!8m2!3d59.3243135!4d18.0687916!16s%2Fg%2F1tdvyj7g!19sChIJH28eReJ3X0YRw3-NsSo_ey4?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
